Area|Sources of personal income|Ethnic group|Value|Flags
"Ashhurst"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|57|
"Ashhurst"|"Unemployment benefit"|"Total people, ethnic group"|42|
"Ashhurst"|"Sickness benefit"|"Total people, ethnic group"|36|
"Ashhurst"|"Domestic purposes benefit"|"Total people, ethnic group"|60|
"Ashhurst"|"Invalids benefit"|"Total people, ethnic group"|60|
"Ashhurst"|"Student allowance"|"Total people, ethnic group"|45|
"Ashhurst"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|135|
"Ashhurst"|"Other sources of income"|"Total people, ethnic group"|36|
"Ashhurst"|"No source of income during that time"|"Total people, ethnic group"|132|
"Ashhurst"|"Total people stated"|"Total people, ethnic group"|2001|
"Ashhurst"|"Not stated"|"Total people, ethnic group"|93|
"Stoney Creek"|"Total people, sources of personal income"|"Total people, ethnic group"|693|
"Stoney Creek"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|414|
"Stoney Creek"|"Self-employment or business"|"Total people, ethnic group"|153|
"Stoney Creek"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|171|
"Stoney Creek"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Stoney Creek"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|84|
"Stoney Creek"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Stoney Creek"|"Unemployment benefit"|"Total people, ethnic group"|15|
"Stoney Creek"|"Sickness benefit"|"Total people, ethnic group"|15|
"Stoney Creek"|"Domestic purposes benefit"|"Total people, ethnic group"|9|
"Stoney Creek"|"Invalids benefit"|"Total people, ethnic group"|12|
"Stoney Creek"|"Student allowance"|"Total people, ethnic group"|12|
"Stoney Creek"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|18|
"Stoney Creek"|"Other sources of income"|"Total people, ethnic group"|6|
"Stoney Creek"|"No source of income during that time"|"Total people, ethnic group"|36|
"Stoney Creek"|"Total people stated"|"Total people, ethnic group"|657|
"Stoney Creek"|"Not stated"|"Total people, ethnic group"|33|
"Whakarongo"|"Total people, sources of personal income"|"Total people, ethnic group"|753|
"Whakarongo"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|444|
"Whakarongo"|"Self-employment or business"|"Total people, ethnic group"|168|
"Whakarongo"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|243|
"Whakarongo"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Whakarongo"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|105|
"Whakarongo"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|18|
"Whakarongo"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Whakarongo"|"Sickness benefit"|"Total people, ethnic group"|6|
"Whakarongo"|"Domestic purposes benefit"|"Total people, ethnic group"|9|
"Whakarongo"|"Invalids benefit"|"Total people, ethnic group"|9|
"Whakarongo"|"Student allowance"|"Total people, ethnic group"|15|
"Whakarongo"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|36|
"Whakarongo"|"Other sources of income"|"Total people, ethnic group"|18|
"Whakarongo"|"No source of income during that time"|"Total people, ethnic group"|36|
"Whakarongo"|"Total people stated"|"Total people, ethnic group"|732|
"Whakarongo"|"Not stated"|"Total people, ethnic group"|18|
"Kairanga"|"Total people, sources of personal income"|"Total people, ethnic group"|711|
"Kairanga"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|396|
"Kairanga"|"Self-employment or business"|"Total people, ethnic group"|189|
"Kairanga"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|177|
"Kairanga"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Kairanga"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|87|
"Kairanga"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Kairanga"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Kairanga"|"Sickness benefit"|"Total people, ethnic group"|12|
"Kairanga"|"Domestic purposes benefit"|"Total people, ethnic group"|9|
"Kairanga"|"Invalids benefit"|"Total people, ethnic group"|21|
"Kairanga"|"Student allowance"|"Total people, ethnic group"|6|
"Kairanga"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|27|
"Kairanga"|"Other sources of income"|"Total people, ethnic group"|6|
"Kairanga"|"No source of income during that time"|"Total people, ethnic group"|45|
"Kairanga"|"Total people stated"|"Total people, ethnic group"|672|
"Kairanga"|"Not stated"|"Total people, ethnic group"|36|
"Longburn"|"Total people, sources of personal income"|"Total people, ethnic group"|489|
"Longburn"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|285|
"Longburn"|"Self-employment or business"|"Total people, ethnic group"|72|
"Longburn"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|60|
"Longburn"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Longburn"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|39|
"Longburn"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Longburn"|"Unemployment benefit"|"Total people, ethnic group"|6|
"Longburn"|"Sickness benefit"|"Total people, ethnic group"|21|
"Longburn"|"Domestic purposes benefit"|"Total people, ethnic group"|15|
"Longburn"|"Invalids benefit"|"Total people, ethnic group"|15|
"Longburn"|"Student allowance"|"Total people, ethnic group"|12|
"Longburn"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|21|
"Longburn"|"Other sources of income"|"Total people, ethnic group"|6|
"Longburn"|"No source of income during that time"|"Total people, ethnic group"|75|
"Longburn"|"Total people stated"|"Total people, ethnic group"|468|
"Longburn"|"Not stated"|"Total people, ethnic group"|24|
"Massey University"|"Total people, sources of personal income"|"Total people, ethnic group"|738|
"Massey University"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|414|
"Massey University"|"Self-employment or business"|"Total people, ethnic group"|24|
"Massey University"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|78|
"Massey University"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Massey University"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|18|
"Massey University"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Massey University"|"Unemployment benefit"|"Total people, ethnic group"|18|
"Massey University"|"Sickness benefit"|"Total people, ethnic group"|9|
"Massey University"|"Domestic purposes benefit"|"Total people, ethnic group"|3|
"Massey University"|"Invalids benefit"|"Total people, ethnic group"|6|
"Massey University"|"Student allowance"|"Total people, ethnic group"|105|
"Massey University"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|15|
"Massey University"|"Other sources of income"|"Total people, ethnic group"|42|
"Massey University"|"No source of income during that time"|"Total people, ethnic group"|177|
"Massey University"|"Total people stated"|"Total people, ethnic group"|708|
"Massey University"|"Not stated"|"Total people, ethnic group"|30|
"Linton Military Camp"|"Total people, sources of personal income"|"Total people, ethnic group"|1014|
"Linton Military Camp"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|726|
"Linton Military Camp"|"Self-employment or business"|"Total people, ethnic group"|36|
"Linton Military Camp"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|84|
"Linton Military Camp"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Linton Military Camp"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|18|
"Linton Military Camp"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Linton Military Camp"|"Unemployment benefit"|"Total people, ethnic group"|24|
"Linton Military Camp"|"Sickness benefit"|"Total people, ethnic group"|12|
"Linton Military Camp"|"Domestic purposes benefit"|"Total people, ethnic group"|18|
"Linton Military Camp"|"Invalids benefit"|"Total people, ethnic group"|6|
"Linton Military Camp"|"Student allowance"|"Total people, ethnic group"|18|
"Linton Military Camp"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|75|
"Linton Military Camp"|"Other sources of income"|"Total people, ethnic group"|18|
"Linton Military Camp"|"No source of income during that time"|"Total people, ethnic group"|69|
"Linton Military Camp"|"Total people stated"|"Total people, ethnic group"|897|
"Linton Military Camp"|"Not stated"|"Total people, ethnic group"|120|
"Turitea"|"Total people, sources of personal income"|"Total people, ethnic group"|1440|
"Turitea"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|876|
"Turitea"|"Self-employment or business"|"Total people, ethnic group"|306|
"Turitea"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|357|
"Turitea"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Turitea"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|153|
"Turitea"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|36|
"Turitea"|"Unemployment benefit"|"Total people, ethnic group"|21|
"Turitea"|"Sickness benefit"|"Total people, ethnic group"|12|
"Turitea"|"Domestic purposes benefit"|"Total people, ethnic group"|12|
"Turitea"|"Invalids benefit"|"Total people, ethnic group"|15|
"Turitea"|"Student allowance"|"Total people, ethnic group"|27|
"Turitea"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|51|
"Turitea"|"Other sources of income"|"Total people, ethnic group"|24|
"Turitea"|"No source of income during that time"|"Total people, ethnic group"|117|
"Turitea"|"Total people stated"|"Total people, ethnic group"|1359|
"Turitea"|"Not stated"|"Total people, ethnic group"|81|
"Milson"|"Total people, sources of personal income"|"Total people, ethnic group"|4425|
"Milson"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2526|
"Milson"|"Self-employment or business"|"Total people, ethnic group"|372|
"Milson"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|822|
"Milson"|"Payments from a work accident insurer"|"Total people, ethnic group"|57|
"Milson"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|909|
"Milson"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|162|
"Milson"|"Unemployment benefit"|"Total people, ethnic group"|108|
"Milson"|"Sickness benefit"|"Total people, ethnic group"|90|
"Milson"|"Domestic purposes benefit"|"Total people, ethnic group"|129|
"Milson"|"Invalids benefit"|"Total people, ethnic group"|123|
"Milson"|"Student allowance"|"Total people, ethnic group"|111|
"Milson"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|210|
"Milson"|"Other sources of income"|"Total people, ethnic group"|84|
"Milson"|"No source of income during that time"|"Total people, ethnic group"|297|
"Milson"|"Total people stated"|"Total people, ethnic group"|4245|
"Milson"|"Not stated"|"Total people, ethnic group"|183|
"Kelvin Grove"|"Total people, sources of personal income"|"Total people, ethnic group"|4947|
"Kelvin Grove"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|3378|
"Kelvin Grove"|"Self-employment or business"|"Total people, ethnic group"|501|
"Kelvin Grove"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|804|
"Kelvin Grove"|"Payments from a work accident insurer"|"Total people, ethnic group"|78|
"Kelvin Grove"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|510|
"Kelvin Grove"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|90|
"Kelvin Grove"|"Unemployment benefit"|"Total people, ethnic group"|87|
"Kelvin Grove"|"Sickness benefit"|"Total people, ethnic group"|69|
"Kelvin Grove"|"Domestic purposes benefit"|"Total people, ethnic group"|114|
"Kelvin Grove"|"Invalids benefit"|"Total people, ethnic group"|84|
"Kelvin Grove"|"Student allowance"|"Total people, ethnic group"|123|
"Kelvin Grove"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|297|
"Kelvin Grove"|"Other sources of income"|"Total people, ethnic group"|108|
"Kelvin Grove"|"No source of income during that time"|"Total people, ethnic group"|300|
"Kelvin Grove"|"Total people stated"|"Total people, ethnic group"|4779|
"Kelvin Grove"|"Not stated"|"Total people, ethnic group"|168|
"Takaro"|"Total people, sources of personal income"|"Total people, ethnic group"|4164|
"Takaro"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2481|
"Takaro"|"Self-employment or business"|"Total people, ethnic group"|264|
"Takaro"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|561|
"Takaro"|"Payments from a work accident insurer"|"Total people, ethnic group"|69|
"Takaro"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|588|
"Takaro"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|75|
"Takaro"|"Unemployment benefit"|"Total people, ethnic group"|177|
"Takaro"|"Sickness benefit"|"Total people, ethnic group"|108|
"Takaro"|"Domestic purposes benefit"|"Total people, ethnic group"|132|
"Takaro"|"Invalids benefit"|"Total people, ethnic group"|144|
"Takaro"|"Student allowance"|"Total people, ethnic group"|225|
"Takaro"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|243|
"Takaro"|"Other sources of income"|"Total people, ethnic group"|126|
"Takaro"|"No source of income during that time"|"Total people, ethnic group"|237|
"Takaro"|"Total people stated"|"Total people, ethnic group"|3861|
"Takaro"|"Not stated"|"Total people, ethnic group"|306|
"Cloverlea"|"Total people, sources of personal income"|"Total people, ethnic group"|1500|
"Cloverlea"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|912|
