Area|Age group|Occupied dwelling type|Value|Flags
"Canterbury Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|5973|
"Canterbury Region"|"25-29 Years"|"Dwelling in a motor camp"|39|
"Canterbury Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|63|
"Canterbury Region"|"25-29 Years"|"Improvised dwelling or shelter"|42|
"Canterbury Region"|"25-29 Years"|"Roofless or rough sleeper"|3|
"Canterbury Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|141|
"Canterbury Region"|"25-29 Years"|"Occupied private dwelling not further defined"|1554|
"Canterbury Region"|"25-29 Years"|"Residential care for older people"|15|
"Canterbury Region"|"25-29 Years"|"Public hospital"|15|
"Canterbury Region"|"25-29 Years"|"Private hospital"|3|
"Canterbury Region"|"25-29 Years"|"Residential and community care facilities"|57|
"Canterbury Region"|"25-29 Years"|"Welfare institution"|3|
"Canterbury Region"|"25-29 Years"|"Educational institution"|90|
"Canterbury Region"|"25-29 Years"|"Religious institution"|3|
"Canterbury Region"|"25-29 Years"|"Prison or penal institution"|78|
"Canterbury Region"|"25-29 Years"|"Defence establishment"|72|
"Canterbury Region"|"25-29 Years"|"Night shelter"|3|
"Canterbury Region"|"25-29 Years"|"Total usual residents in institutions"|339|
"Canterbury Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|153|
"Canterbury Region"|"25-29 Years"|"Boarding house"|27|
"Canterbury Region"|"25-29 Years"|"Moto camp/camping ground"|6|
"Canterbury Region"|"25-29 Years"|"Work, construction, or training camp"|3|
"Canterbury Region"|"25-29 Years"|"Youth, school, or scout/guide camp"|3|
"Canterbury Region"|"25-29 Years"|"Communal staff quarters"|21|
"Canterbury Region"|"25-29 Years"|"Commercial vessel"|3|
"Canterbury Region"|"25-29 Years"|"Marae complex"|0|
"Canterbury Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|210|
"Canterbury Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"|6|
"Otago Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|11307|
"Otago Region"|"25-29 Years"|"Separate house no storey information"|15|
"Otago Region"|"25-29 Years"|"Separate house with one storey"|6300|
"Otago Region"|"25-29 Years"|"Separate house with two or more storeys"|1785|
"Otago Region"|"25-29 Years"|"Total usual residents in separate houses"|8103|
"Otago Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|6|
"Otago Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|720|
"Otago Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|1380|
"Otago Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|54|
"Otago Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|2163|
"Otago Region"|"25-29 Years"|"Dwelling in a motor camp"|9|
"Otago Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|9|
"Otago Region"|"25-29 Years"|"Improvised dwelling or shelter"|6|
"Otago Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Otago Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|24|
"Otago Region"|"25-29 Years"|"Occupied private dwelling not further defined"|606|
"Otago Region"|"25-29 Years"|"Residential care for older people"|3|
"Otago Region"|"25-29 Years"|"Public hospital"|3|
"Otago Region"|"25-29 Years"|"Private hospital"|0|
"Otago Region"|"25-29 Years"|"Residential and community care facilities"|36|
"Otago Region"|"25-29 Years"|"Welfare institution"|3|
"Otago Region"|"25-29 Years"|"Educational institution"|105|
"Otago Region"|"25-29 Years"|"Religious institution"|0|
"Otago Region"|"25-29 Years"|"Prison or penal institution"|36|
"Otago Region"|"25-29 Years"|"Defence establishment"|0|
"Otago Region"|"25-29 Years"|"Night shelter"|0|
"Otago Region"|"25-29 Years"|"Total usual residents in institutions"|180|
"Otago Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|165|
"Otago Region"|"25-29 Years"|"Boarding house"|21|
"Otago Region"|"25-29 Years"|"Moto camp/camping ground"|6|
"Otago Region"|"25-29 Years"|"Work, construction, or training camp"|0|
"Otago Region"|"25-29 Years"|"Youth, school, or scout/guide camp"|0|
"Otago Region"|"25-29 Years"|"Communal staff quarters"|24|
"Otago Region"|"25-29 Years"|"Commercial vessel"|0|
"Otago Region"|"25-29 Years"|"Marae complex"|0|
"Otago Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|216|
"Otago Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"|9|
"Southland Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|5262|
"Southland Region"|"25-29 Years"|"Separate house no storey information"|12|
"Southland Region"|"25-29 Years"|"Separate house with one storey"|4326|
"Southland Region"|"25-29 Years"|"Separate house with two or more storeys"|300|
"Southland Region"|"25-29 Years"|"Total usual residents in separate houses"|4638|
"Southland Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Southland Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|231|
"Southland Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|69|
"Southland Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Southland Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|309|
"Southland Region"|"25-29 Years"|"Dwelling in a motor camp"|0|
"Southland Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|6|
"Southland Region"|"25-29 Years"|"Improvised dwelling or shelter"|3|
"Southland Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Southland Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|9|
"Southland Region"|"25-29 Years"|"Occupied private dwelling not further defined"|216|
"Southland Region"|"25-29 Years"|"Residential care for older people"||c
"Southland Region"|"25-29 Years"|"Public hospital"||c
"Southland Region"|"25-29 Years"|"Private hospital"||c
"Southland Region"|"25-29 Years"|"Residential and community care facilities"|12|
"Southland Region"|"25-29 Years"|"Welfare institution"||c
"Southland Region"|"25-29 Years"|"Educational institution"|21|
"Southland Region"|"25-29 Years"|"Religious institution"||c
"Southland Region"|"25-29 Years"|"Prison or penal institution"|12|
"Southland Region"|"25-29 Years"|"Defence establishment"||c
"Southland Region"|"25-29 Years"|"Night shelter"||c
"Southland Region"|"25-29 Years"|"Total usual residents in institutions"|48|
"Southland Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|24|
"Southland Region"|"25-29 Years"|"Boarding house"||c
"Southland Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Southland Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Southland Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Southland Region"|"25-29 Years"|"Communal staff quarters"|9|
"Southland Region"|"25-29 Years"|"Commercial vessel"||c
"Southland Region"|"25-29 Years"|"Marae complex"||c
"Southland Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|45|
"Southland Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Total, Regional Council Areas"|"25-29 Years"|"Total usual residents in occupied dwellings"|256656|
"Total, Regional Council Areas"|"25-29 Years"|"Separate house no storey information"|690|
"Total, Regional Council Areas"|"25-29 Years"|"Separate house with one storey"|137712|
"Total, Regional Council Areas"|"25-29 Years"|"Separate house with two or more storeys"|42921|
"Total, Regional Council Areas"|"25-29 Years"|"Total usual residents in separate houses"|181320|
"Total, Regional Council Areas"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|315|
"Total, Regional Council Areas"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|22110|
"Total, Regional Council Areas"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|23781|
"Total, Regional Council Areas"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|7749|
"Total, Regional Council Areas"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|53955|
"Total, Regional Council Areas"|"25-29 Years"|"Dwelling in a motor camp"|153|
"Total, Regional Council Areas"|"25-29 Years"|"Mobile dwelling not in a motor camp"|381|
"Total, Regional Council Areas"|"25-29 Years"|"Improvised dwelling or shelter"|309|
"Total, Regional Council Areas"|"25-29 Years"|"Roofless or rough sleeper"|3|
"Total, Regional Council Areas"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|846|
"Total, Regional Council Areas"|"25-29 Years"|"Occupied private dwelling not further defined"|15900|
"Total, Regional Council Areas"|"25-29 Years"|"Residential care for older people"|72|
"Total, Regional Council Areas"|"25-29 Years"|"Public hospital"|84|
"Total, Regional Council Areas"|"25-29 Years"|"Private hospital"|3|
"Total, Regional Council Areas"|"25-29 Years"|"Residential and community care facilities"|405|
"Total, Regional Council Areas"|"25-29 Years"|"Welfare institution"|66|
"Total, Regional Council Areas"|"25-29 Years"|"Educational institution"|819|
"Total, Regional Council Areas"|"25-29 Years"|"Religious institution"|54|
"Total, Regional Council Areas"|"25-29 Years"|"Prison or penal institution"|600|
"Total, Regional Council Areas"|"25-29 Years"|"Defence establishment"|273|
"Total, Regional Council Areas"|"25-29 Years"|"Night shelter"|9|
"Total, Regional Council Areas"|"25-29 Years"|"Total usual residents in institutions"|2385|
"Total, Regional Council Areas"|"25-29 Years"|"Hotel, motel, or guest accommodation"|1632|
"Total, Regional Council Areas"|"25-29 Years"|"Boarding house"|312|
"Total, Regional Council Areas"|"25-29 Years"|"Moto camp/camping ground"|60|
"Total, Regional Council Areas"|"25-29 Years"|"Work, construction, or training camp"|6|
"Total, Regional Council Areas"|"25-29 Years"|"Youth, school, or scout/guide camp"|15|
"Total, Regional Council Areas"|"25-29 Years"|"Communal staff quarters"|168|
"Total, Regional Council Areas"|"25-29 Years"|"Commercial vessel"|6|
"Total, Regional Council Areas"|"25-29 Years"|"Marae complex"|12|
"Total, Regional Council Areas"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|2214|
"Total, Regional Council Areas"|"25-29 Years"|"Occupied non-private dwelling not further defined"|39|
"Area Outside Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|33|
"Area Outside Region"|"25-29 Years"|"Separate house no storey information"||c
"Area Outside Region"|"25-29 Years"|"Separate house with one storey"|24|
"Area Outside Region"|"25-29 Years"|"Separate house with two or more storeys"||c
"Area Outside Region"|"25-29 Years"|"Total usual residents in separate houses"|30|
"Area Outside Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"||c
"Area Outside Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"||c
"Area Outside Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"||c
"Area Outside Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"||c
"Area Outside Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"||c
"Area Outside Region"|"25-29 Years"|"Dwelling in a motor camp"||c
"Area Outside Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"||c
"Area Outside Region"|"25-29 Years"|"Improvised dwelling or shelter"||c
"Area Outside Region"|"25-29 Years"|"Roofless or rough sleeper"||c
"Area Outside Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"||c
"Area Outside Region"|"25-29 Years"|"Occupied private dwelling not further defined"||c
"Area Outside Region"|"25-29 Years"|"Residential care for older people"||c
"Area Outside Region"|"25-29 Years"|"Public hospital"||c
"Area Outside Region"|"25-29 Years"|"Private hospital"||c
"Area Outside Region"|"25-29 Years"|"Residential and community care facilities"||c
"Area Outside Region"|"25-29 Years"|"Welfare institution"||c
"Area Outside Region"|"25-29 Years"|"Educational institution"||c
"Area Outside Region"|"25-29 Years"|"Religious institution"||c
"Area Outside Region"|"25-29 Years"|"Prison or penal institution"||c
"Area Outside Region"|"25-29 Years"|"Defence establishment"||c
"Area Outside Region"|"25-29 Years"|"Night shelter"||c
"Area Outside Region"|"25-29 Years"|"Total usual residents in institutions"||c
"Area Outside Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"||c
"Area Outside Region"|"25-29 Years"|"Boarding house"||c
"Area Outside Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Area Outside Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Area Outside Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Area Outside Region"|"25-29 Years"|"Communal staff quarters"||c
"Area Outside Region"|"25-29 Years"|"Commercial vessel"||c
"Area Outside Region"|"25-29 Years"|"Marae complex"||c
"Area Outside Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"||c
"Area Outside Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Total, New Zealand by regional council"|"45-49 Years"|"Total usual residents in occupied dwellings"|299184|
"Total, New Zealand by regional council"|"45-49 Years"|"Separate house no storey information"|750|
"Total, New Zealand by regional council"|"45-49 Years"|"Separate house with one storey"|173037|
"Total, New Zealand by regional council"|"45-49 Years"|"Separate house with two or more storeys"|75543|
"Total, New Zealand by regional council"|"45-49 Years"|"Total usual residents in separate houses"|249327|
"Total, New Zealand by regional council"|"45-49 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|225|
"Total, New Zealand by regional council"|"45-49 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|15402|
